Category,Code,Service Description,Time (hrs),Rate/hr (BDT),Price (BDT)
Transmission,TRN-015,Transfer Case Overhaul,8,1500,12000
Transmission,TRN-016,Propeller Shaft U-Joint Replacement,1.5,1500,2250
Transmission,TRN-017,Propeller Shaft Replacement,2.5,1500,3750
Transmission,TRN-018,Differential Oil Change,1,1500,1500
Transmission,TRN-019,Differential Overhaul (Front),10,1500,15000
Transmission,TRN-020,Differential Overhaul (Rear),12,1500,18000
Transmission,TRN-021,Driveshaft Replacement (per side),2,1500,3000
Transmission,TRN-022,CV Joint Boot Replacement (per side),1.2,1500,1800
Transmission,TRN-023,Axle Seal Replacement (per side),1,1500,1500
Transmission,TRN-024,4WD Hub Service,1.5,1500,2250
Transmission,TRN-025,Transmission Control Module Reset / Reprogram,1,1500,1500
Suspension,SUS-001,Front Shock Absorber Replacement (pair),2,1500,3000
Suspension,SUS-002,Rear Shock Absorber Replacement (pair),1.5,1500,2250
Suspension,SUS-003,Front Coil Spring Replacement (pair),2,1500,3000
Suspension,SUS-004,Rear Coil Spring Replacement (pair),1.5,1500,2250
Suspension,SUS-005,Front Lower Arm Replacement (per side),1.5,1500,2250
Suspension,SUS-006,Rear Control Arm Replacement (per side),1.2,1500,1800
Suspension,SUS-007,Ball Joint Replacement (per side),1,1500,1500
Suspension,SUS-008,Tie Rod End Replacement (per side),0.8,1500,1200
Suspension,SUS-009,Rack End Replacement (per side),1,1500,1500
Suspension,SUS-010,Steering Rack Overhaul,8,1500,12000
Suspension,SUS-011,Steering Rack Boot Replacement,1,1500,1500
Suspension,SUS-012,Steering Column Replacement,2.5,1500,3750
Suspension,SUS-013,Steering Pump Replacement,2,1500,3000
Suspension,SUS-014,Wheel Alignment (4-wheel),1,1500,1500
Suspension,SUS-015,Wheel Balancing (per wheel),0.3,1500,450
Suspension,SUS-016,Power Steering Fluid Flush,1,1500,1500
Suspension,SUS-017,Stabilizer Link Replacement (per side),0.8,1500,1200
Suspension,SUS-018,Suspension Bush Replacement (per arm),1.2,1500,1800
Suspension,SUS-019,Front Hub Bearing Replacement (per side),2,1500,3000
Suspension,SUS-020,Rear Hub Bearing Replacement (per side),1.8,1500,2700
Suspension,SUS-021,Knuckle Replacement (per side),2.5,1500,3750
Suspension,SUS-022,Strut Mount Replacement (per side),1.5,1500,2250
Suspension,SUS-023,Wheel Bearing Greasing,1,1500,1500
Suspension,SUS-024,Control Arm Bushing Press Service,1.2,1500,1800
Suspension,SUS-025,Steering Angle Sensor Calibration,0.8,1500,1200
Suspension,SUS-026,Steering Wheel Replacement,0.5,1500,750
Suspension,SUS-027,Shock Mount Bushing Replacement,1,1500,1500
Suspension,SUS-028,Power Steering Hose Replacement,1.5,1500,2250
Suspension,SUS-029,Suspension Inspection Package,0.8,1500,1200
Suspension,SUS-030,Steering Freeplay Adjustment,0.5,1500,750
Brakes,BRK-001,Front Brake Pad Replacement,1,1500,1500
Brakes,BRK-002,Rear Brake Pad Replacement,1,1500,1500
Brakes,BRK-003,Front Disc Rotor Skimming (pair),1.5,1500,2250
Brakes,BRK-004,Rear Disc Rotor Skimming (pair),1.5,1500,2250
Brakes,BRK-005,Front Brake Disc Replacement (pair),2,1500,3000
Brakes,BRK-006,Rear Brake Disc Replacement (pair),2,1500,3000
Brakes,BRK-007,Brake Shoe Replacement (rear drum),2,1500,3000
Brakes,BRK-008,Brake Drum Skimming (pair),1.5,1500,2250
Brakes,BRK-009,Brake Caliper Overhaul (per side),2,1500,3000
Brakes,BRK-010,Brake Caliper Pin Greasing,0.8,1500,1200
Brakes,BRK-011,Brake Hose Replacement (per side),1,1500,1500
Brakes,BRK-012,Brake Master Cylinder Replacement,2,1500,3000
Brakes,BRK-013,Brake Booster Replacement,2.5,1500,3750
Brakes,BRK-014,Brake Fluid Flush,1,1500,1500
Brakes,BRK-015,ABS Sensor Replacement (per side),1,1500,1500
Brakes,BRK-016,ABS Module Replacement,3,1500,4500
Brakes,BRK-017,Parking Brake Adjustment,0.5,1500,750
Brakes,BRK-018,Parking Brake Cable Replacement,2,1500,3000
Brakes,BRK-019,Brake System Bleeding (full vehicle),1.5,1500,2250
Brakes,BRK-020,Brake Inspection Package,0.5,1500,750
Electrical,ELE-001,Battery Replacement & System Reset,0.5,1500,750
Electrical,ELE-002,Alternator Replacement,1.5,1500,2250
Electrical,ELE-003,Starter Motor Replacement,1.2,1500,1800
Electrical,ELE-004,ECU Diagnostic Scan (GTS+),0.5,1500,750
Electrical,ELE-005,ECU Reprogramming / Update,1,1500,1500
Electrical,ELE-006,Wiring Harness Repair (minor),1,1500,1500
Electrical,ELE-007,Wiring Harness Replacement (major),6,1500,9000
Electrical,ELE-008,Fuse Box Replacement,1.5,1500,2250
Electrical,ELE-009,Relay Replacement,0.5,1500,750
Electrical,ELE-010,Headlight Bulb Replacement (per bulb),0.3,1500,450
Electrical,ELE-011,Headlight Assembly Replacement,1.5,1500,2250
Electrical,ELE-012,Tail Lamp Assembly Replacement,1,1500,1500
Electrical,ELE-013,Fog Lamp Installation (pair),1.5,1500,2250
Electrical,ELE-014,Horn Replacement,0.5,1500,750
Electrical,ELE-015,Power Window Motor Replacement,1.5,1500,2250
Electrical,ELE-016,Door Lock Actuator Replacement,1,1500,1500
Electrical,ELE-017,Instrument Cluster Replacement,2,1500,3000
Electrical,ELE-018,"Sensor Replacement (O2, MAF, etc.)",1,1500,1500
Electrical,ELE-019,Camera / Parking Sensor Installation,2,1500,3000
Electrical,ELE-020,Audio Head Unit Replacement,1.5,1500,2250
Electrical,ELE-021,Speaker Installation (pair),1,1500,1500
Electrical,ELE-022,Navigation System Installation,2.5,1500,3750
Electrical,ELE-023,Immobilizer / Key Programming,1,1500,1500
Electrical,ELE-024,Hybrid System Diagnostic,2,1500,3000
Electrical,ELE-025,EV Battery Pack Removal & Refit,6,1500,9000
HVAC,AC-001,AC Gas Recharge & Leak Check,1.5,1500,2250
HVAC,AC-002,AC Compressor Replacement,3,1500,4500
HVAC,AC-003,AC Condenser Replacement,2,1500,3000
HVAC,AC-004,Evaporator Cleaning,2.5,1500,3750
HVAC,AC-005,Evaporator Replacement,4,1500,6000
HVAC,AC-006,Expansion Valve Replacement,2,1500,3000
HVAC,AC-007,Blower Motor Replacement,1.5,1500,2250
HVAC,AC-008,Cabin Filter Replacement,0.3,1500,450
HVAC,AC-009,Heater Core Replacement,5,1500,7500
HVAC,AC-010,AC Pipe / Hose Replacement,1.5,1500,2250
HVAC,AC-011,AC Control Panel Replacement,1,1500,1500
HVAC,AC-012,Cooling Coil Service,2.5,1500,3750
HVAC,AC-013,AC Pressure Test,0.8,1500,1200
HVAC,AC-014,HVAC System Calibration,1,1500,1500
HVAC,AC-015,AC Full Service Package,4,1500,6000
Body & Paint,BDP-001,Front Bumper Paint,3,1500,4500
Body & Paint,BDP-002,Rear Bumper Paint,3,1500,4500
Body & Paint,BDP-003,Door Paint (per door),3.5,1500,5250
Body & Paint,BDP-004,Fender Paint (per fender),3,1500,4500
Body & Paint,BDP-005,Hood Paint,4,1500,6000
Body & Paint,BDP-006,Trunk Paint,3.5,1500,5250
Body & Paint,BDP-007,Roof Paint,4.5,1500,6750
Body & Paint,BDP-008,Full Body Paint,40,1500,60000
Body & Paint,BDP-009,Panel Replacement (per panel),3,1500,4500
Body & Paint,BDP-010,Dent Removal (minor),1.5,1500,2250
Body & Paint,BDP-011,Dent Removal (major),4,1500,6000
Body & Paint,BDP-012,Scratch Removal & Polish (per panel),1.5,1500,2250
Body & Paint,BDP-013,Underbody Coating,3,1500,4500
Body & Paint,BDP-014,Rust Treatment (per panel),2,1500,3000
Body & Paint,BDP-015,Paintless Dent Removal (per panel),2,1500,3000
Body & Paint,BDP-016,Windshield Frame Paint,3,1500,4500
Body & Paint,BDP-017,Door Handle Paint (set of 4),2,1500,3000
Body & Paint,BDP-018,Mirror Housing Paint (pair),1.5,1500,2250
Body & Paint,BDP-019,Alloy Wheel Paint (per wheel),2,1500,3000
Body & Paint,BDP-020,Body Inspection Package,1,1500,1500
Glass & Trim,GLS-001,Windshield Replacement,2.5,1500,3750
Glass & Trim,GLS-002,Rear Glass Replacement,2.5,1500,3750
Glass & Trim,GLS-003,Side Glass Replacement (per glass),1.5,1500,2250
Glass & Trim,GLS-004,Quarter Glass Replacement,1.5,1500,2250
Glass & Trim,GLS-005,Window Regulator Replacement,1.5,1500,2250
Glass & Trim,GLS-006,Sunroof Glass Replacement,3,1500,4500
Glass & Trim,GLS-007,Door Trim Removal & Refitting,1,1500,1500
Glass & Trim,GLS-008,Dashboard Removal & Refitting,4,1500,6000
Glass & Trim,GLS-009,Seat Removal & Refitting (per seat),1,1500,1500
Glass & Trim,GLS-010,Interior Trim Fitting (full car),5,1500,7500
Inspection,INS-001,Pre-Purchase Inspection (with GTS+),2,1500,3000
Inspection,INS-002,Paint Thickness & Auction Report Check,1.5,1500,2250
Inspection,INS-003,Full Vehicle Diagnostic Scan,1.5,1500,2250
Inspection,INS-004,Safety Inspection Package,1,1500,1500
Inspection,INS-005,Emission Test & Report,1,1500,1500
Inspection,INS-006,Suspension & Brake Health Check,1,1500,1500
Inspection,INS-007,Airbag & Safety Systems Diagnostic,1.2,1500,1800
Inspection,INS-008,Battery Health Test,0.5,1500,750
Inspection,INS-009,Road Test & Performance Check,1,1500,1500
Inspection,INS-010,Comprehensive Inspection Package,3,1500,4500
